week,primary_goal,canonical_page,product_evidence,distribution,measurement,owner,status
1,"Connect measurement baseline","https://www.visioner.cc/","Search Console property, sitemap acceptance, and acquisition attribution","Submit Google and Bing sitemap; publish one founder launch post","Record indexed/excluded URLs, branded impressions, and direct signups",Founder,"In progress — Google verified; 6 impressions; sitemap processing, Bing, and automated reporting pending"
2,"Define Account Planning CRM","https://www.visioner.cc/account-planning-crm","Current Account Overview screenshot and explicit product limitations","Two LinkedIn posts; one relevant KAM community answer; one KAM review request","Record impressions, CTR, signups, and objections",Founder,"Canonical page refreshed and submitted to IndexNow; founder distribution and KAM review pending"
3,"Own the KAM persona problem","https://www.visioner.cc/crm-for-key-account-managers","Typical-day workflow and task/account screenshots","Two LinkedIn posts; one practitioner interview excerpt","Record non-branded queries and signup conversion",Founder,"Canonical page refreshed and submitted to IndexNow; practitioner distribution pending"
4,"Demonstrate account mapping","https://www.visioner.cc/account-mapping-software","Org Chart screenshot, unknown stakeholder slot, and relationship-health example","Two LinkedIn posts; one account-planning community answer","Record page impressions and first-Account activation",Founder,"Canonical page refreshed and submitted to IndexNow; community distribution pending"
5,"Explain customer org charts","https://www.visioner.cc/customer-org-chart-software","THE ORG BYOK boundary and manager-reveal workflow","Two LinkedIn posts; one sales-operations community answer","Record impressions, assisted signups, and provider questions",Founder,"Canonical page refreshed and submitted to IndexNow; provider-question distribution pending"
6,"Publish account-plan standard","https://www.visioner.cc/guides/what-should-an-account-plan-include","Account Plan export example and practical checklist","Two LinkedIn posts; ask two KAMs to review the checklist","Record citations, backlinks, impressions, and objections",Founder,Planned
7,"Teach stakeholder mapping","https://www.visioner.cc/guides/how-to-map-stakeholders-in-a-strategic-account","Project decision-chain and relationship-risk example","Two LinkedIn posts; one substantive community answer","Record queries, dwell proxy, and signup assists",Founder,Planned
8,"Teach a daily KAM workflow","https://www.visioner.cc/guides/key-account-manager-daily-workflow","Task-to-weekly-progress and BCC activity workflow","Two LinkedIn posts; one founder workflow video or GIF","Record impressions, signups, and activated workspaces",Founder,Planned
9,"Support software evaluation","https://www.visioner.cc/guides/how-to-choose-key-account-management-software","Neutral evaluation matrix with Visioner not-fit cases","Two LinkedIn posts; three direct review requests","Record comparison queries and pricing visits",Founder,Planned
10,"Earn relevant references","https://www.visioner.cc/guides","Current guide hub and consistent category description","Submit selected directories; pitch one guest article or podcast note","Record accepted listings, backlinks, and referral sessions",Founder,Planned
11,"Refresh search snippets","Highest-impression low-CTR canonical URL","Updated title, description, direct answer, and screenshot","Redistribute only the materially improved page","Compare 28-day CTR and position with prior period",Founder,Planned
12,"Consolidate and decide","Portfolio of canonical URLs","Retain, refresh, consolidate, or retire decision for every page","Publish 90-day learning summary; request two investor or KAM reviews","Record organic signup-to-activation, paid assists, and GEO citation accuracy",Founder,Planned
